day_of_week,time
Sunday,09:06:59
Saturday,02:16:14
Saturday,19:59:52
Friday,21:44:15
Monday,01:57:08
Sunday,19:51:11
Saturday,20:24:01
Thursday,02:59:02
Sunday,01:36:06
Thursday,20:41:56
Thursday,21:59:51
Thursday,21:14:31
Saturday,04:15:32
Tuesday,13:18:13
Wednesday,02:17:20
Sunday,20:45:34
Wednesday,17:16:21
Sunday,09:50:10
Wednesday,12:21:57
Thursday,02:22:39
Sunday,02:56:24
Sunday,23:29:07
Friday,18:14:13
Saturday,08:15:38
Wednesday,09:30:32
Sunday,20:49:52
Wednesday,02:56:41
Monday,13:40:05
Wednesday,06:18:11
Monday,19:46:54
Monday,15:54:29
Sunday,10:59:59
Friday,20:24:21
Sunday,21:31:29
Friday,20:51:52
Monday,11:46:29
Saturday,18:13:05
Saturday,23:23:56
Monday,12:20:52
Tuesday,22:03:02
Thursday,02:56:16
Tuesday,22:19:40
Friday,18:20:03
Saturday,17:02:22
Tuesday,13:01:42
Thursday,11:41:18
Friday,11:42:00
Saturday,20:22:20
Tuesday,22:02:06
Monday,21:38:42
Thursday,20:33:51
Saturday,01:11:27
Friday,16:02:41
Thursday,13:24:52
Tuesday,09:49:06
Monday,20:20:02
Monday,02:56:03
Thursday,03:35:40
Friday,19:32:45
Tuesday,06:01:37
Sunday,11:29:05
Wednesday,17:20:38
Monday,19:49:44
Tuesday,13:34:26
Thursday,02:03:45
Saturday,00:59:51
Sunday,00:01:56
Monday,18:48:08
Sunday,17:14:04
Tuesday,01:57:43
Tuesday,16:01:14
Sunday,02:19:53
Thursday,01:33:21
Tuesday,13:09:56
Friday,19:18:22
Sunday,14:28:04
Tuesday,07:09:17
Saturday,21:03:01
Thursday,23:55:19
Friday,17:11:59
Wednesday,09:53:58
Tuesday,20:07:01
Friday,06:28:33
Sunday,21:51:38
Tuesday,16:29:20
Sunday,23:34:33
Monday,05:50:19
Saturday,21:20:14
Friday,17:19:37
Tuesday,13:30:25
Friday,06:37:16
Monday,00:25:38
Monday,18:21:21
Friday,02:56:20
Thursday,18:20:00
Sunday,01:58:44
Monday,16:03:04
Thursday,20:38:11
Thursday,01:24:30
Sunday,03:27:49
Friday,21:26:45
Monday,19:55:34
Tuesday,03:33:55
Thursday,05:38:08
Friday,22:55:43
Wednesday,13:32:19
Friday,10:01:38
Tuesday,14:17:32
Tuesday,22:09:03
Saturday,03:23:17
Wednesday,12:06:42
Thursday,02:48:02
Tuesday,10:24:17
Monday,13:37:17
Tuesday,19:26:49
Thursday,06:02:21
Tuesday,02:26:58
Saturday,21:54:46
Saturday,23:12:52
Thursday,03:35:04
Sunday,23:10:35
Wednesday,19:08:57
Saturday,15:44:43
Friday,15:31:50
Saturday,10:00:30
Wednesday,08:24:57
Wednesday,13:18:30
Wednesday,22:56:14
Wednesday,16:01:39
Monday,09:00:17
Wednesday,06:03:40
Wednesday,20:10:21
Saturday,06:41:28
Friday,21:07:25
Monday,06:36:02
Wednesday,13:37:01
Wednesday,03:18:48
Tuesday,22:32:29
Thursday,17:52:07
Wednesday,21:24:15
Sunday,22:34:03
Friday,00:39:43
Monday,20:48:18
Saturday,14:02:41
Friday,00:02:30
Monday,01:29:24
Wednesday,14:47:22
Saturday,22:13:18
Sunday,17:58:32
Monday,23:47:56
Wednesday,17:41:46
Wednesday,15:41:30
Wednesday,20:37:38
Wednesday,06:33:59
Monday,16:45:49
Monday,16:48:11
Friday,19:04:00
Friday,21:09:00
Sunday,18:30:22
Monday,04:00:00
Saturday,17:16:57
Friday,20:56:45
Thursday,22:22:20
Wednesday,22:01:24
Thursday,06:59:38
Monday,00:28:44
Monday,15:05:48
Wednesday,14:11:07
Wednesday,10:01:04
Monday,12:21:24
Tuesday,17:15:41
Thursday,07:52:21
Wednesday,08:21:19
Wednesday,10:54:16
Sunday,23:43:09
Sunday,14:38:57
Tuesday,04:09:05
Saturday,08:34:20
Thursday,19:44:55
Wednesday,04:12:26
Wednesday,00:12:43
Monday,22:56:37
Wednesday,02:03:46
Friday,21:25:07
Thursday,04:39:06
Thursday,06:58:31
Wednesday,16:27:55
